Name,Rubric Level,Rubric Item,Rubric Group,Rubric Unit
Recognize array literals,1 (Novice),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Create an array using an array literal,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Access items in an array by index,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Add items to an array using push,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Add items to an array using unshift,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Remove items from an array using pop,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Remove items from an array using shift,2 (Emerging),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
"Operate on an array using enumerable methods (e.g. sort, include?, reverse)",3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Explain the concept of iteration over an array,3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Iterate over arrays using enumerable methods,3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
"Explain the return value of Array#each, Array#map, Array#find, and Array#select",3 (Progressing),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Iterate over nested arrays,4 (Proficient),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Remove an element from the middle of an array,4 (Proficient),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Implement a binary search method for sorted arrays,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Implement a method which flattens nested arrays,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Describe the relationship between arrays and stacks,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
Describe the relationship between arrays and queues,5 (Mastery),Arrays,"""Ruby Data (Types, Manipulation, Mutability)""",Ruby
